variable,n,media,mediana,sd,p25,p75,min,max
glucemia_media_15_19,530229,99.82916076016214,94.9,18.62114967800906,86.6,108.75,53.37499999999999,141.97500000000002
glucemia_media_20_22,530229,98.34794023355947,95.6667,15.15567093422142,89.0,105.0,65.0,129.0
delta_20_22_vs_15_19,530229,-1.481220526602657,0.16670000000000584,14.681082778552469,-8.333299999999994,7.099999999999994,-76.97500000000002,75.625
promedio,530229,99.0885504968608,95.25,15.308077622982076,88.33335,107.55,59.1875,135.4875
